City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Coquimbo,CL,2022-08-06 16:30:52,-29.9533,-71.3436,58.73,72,100,13.8
139,San Quintin,MX,2022-08-06 16:30:53,30.4833,-115.95,74.37,79,95,12.57
140,Alugan,PH,2022-08-06 16:30:53,12.2188,125.4808,77.34,85,100,5.79
141,Puerto Ayora,EC,2022-08-06 16:30:53,-0.7393,-90.3518,76.96,89,92,11.99
142,Charleston,US,2022-08-06 16:29:36,32.7766,-79.9309,89.1,74,0,8.05
143,Saint Anthony,US,2022-08-06 16:30:54,45.0205,-93.218,73.83,95,75,11.5
144,Osorno,CL,2022-08-06 16:30:54,-40.5667,-73.15,50.25,76,75,0.0
145,Dikson,RU,2022-08-06 16:30:54,73.5069,80.5464,42.17,97,98,10.4
146,Cabedelo,BR,2022-08-06 16:30:55,-6.9811,-34.8339,83.07,73,28,15.41
147,Cristalina,BR,2022-08-06 16:27:15,-16.7686,-47.6136,83.93,18,5,6.13
148,Ixtapa,MX,2022-08-06 16:30:55,20.7,-105.2,88.23,74,100,3.44
149,Grand Gaube,MU,2022-08-06 16:30:55,-20.0064,57.6608,70.2,84,17,1.99
150,Marion,US,2022-08-06 16:30:56,39.7684,-86.1555,86.22,82,75,6.91
151,Laguna,US,2022-08-06 16:30:56,38.421,-121.4238,75.43,67,0,11.5
152,Rocha,UY,2022-08-06 16:30:27,-34.4833,-54.3333,55.51,54,100,6.85
153,Verkhniy Avzyan,RU,2022-08-06 16:30:56,53.5289,57.5372,64.27,70,72,3.09
154,Ancud,CL,2022-08-06 16:30:57,-41.8697,-73.8203,47.23,63,100,9.57
155,Progreso,MX,2022-08-06 16:30:57,21.2833,-89.6667,86.11,64,12,12.46
156,Ust-Nera,RU,2022-08-06 16:30:57,64.5667,143.2,62.22,69,95,6.4
157,Emporia,US,2022-08-06 16:30:57,38.4039,-96.1817,91.6,49,0,14.97
158,Thompson,CA,2022-08-06 16:26:33,55.7435,-97.8558,59.16,63,20,9.22
159,Lompoc,US,2022-08-06 16:30:58,34.6391,-120.4579,62.74,95,100,12.66
160,Orikhiv,UA,2022-08-06 16:30:58,47.5673,35.7858,79.65,47,76,7.16
161,Mukhen,RU,2022-08-06 16:30:58,48.1,136.1,69.15,91,65,4.94
162,Galle,LK,2022-08-06 16:30:59,6.0367,80.217,77.92,88,100,10.0
163,Palu,ID,2022-08-06 16:30:59,-0.8917,119.8707,75.94,96,99,1.41
164,Victoria,HK,2022-08-06 16:26:06,22.2855,114.1577,83.32,91,61,4.0
165,Vanimo,PG,2022-08-06 16:30:59,-2.6741,141.3028,76.37,87,79,3.11
166,Nizhniy Odes,RU,2022-08-06 16:31:00,63.6445,54.856,71.71,63,74,4.63
167,Mianyang,CN,2022-08-06 16:31:00,31.4593,104.7542,79.32,85,63,3.11
168,Asfi,MA,2022-08-06 16:31:00,32.2994,-9.2372,76.41,67,1,20.83
169,East London,ZA,2022-08-06 16:31:01,-33.0153,27.9116,59.94,88,20,10.36
170,Saint-Joseph,RE,2022-08-06 16:31:01,-21.3667,55.6167,68.38,72,56,4.54
171,Ushtobe,KZ,2022-08-06 16:31:01,45.2514,77.9838,76.23,28,0,10.0
172,Maraa,BR,2022-08-06 16:31:02,-1.8333,-65.3667,94.42,40,3,3.44
173,Khatanga,RU,2022-08-06 16:31:02,71.9667,102.5,53.82,82,17,1.28
174,Nikolskoye,RU,2022-08-06 16:31:03,59.7035,30.7861,65.79,97,100,10.76
175,Upernavik,GL,2022-08-06 16:31:03,72.7868,-56.1549,39.65,94,80,11.88
176,Tasiilaq,GL,2022-08-06 16:31:03,65.6145,-37.6368,46.56,80,100,14.09
177,Paamiut,GL,2022-08-06 16:31:04,61.994,-49.6678,42.8,95,100,12.06
178,Fortuna,US,2022-08-06 16:26:10,40.5982,-124.1573,61.92,90,100,0.0
179,Pevek,RU,2022-08-06 16:31:04,69.7008,170.3133,35.4,99,100,3.53
180,Wanning,CN,2022-08-06 16:31:04,18.8003,110.3967,80.46,83,100,2.21
181,Pisco,PE,2022-08-06 16:32:05,-13.7,-76.2167,64.02,77,75,8.05
182,Ahipara,NZ,2022-08-06 16:32:05,-35.1667,173.1667,60.39,92,100,9.64
183,Santa Helena De Goias,BR,2022-08-06 16:27:29,-17.8136,-50.5969,90.91,18,2,8.46
184,Sao Filipe,CV,2022-08-06 16:32:06,14.8961,-24.4956,77.67,84,81,7.16
185,Nuevitas,CU,2022-08-06 16:32:06,21.5453,-77.2644,85.86,65,93,15.41
