City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Keetmanshoop,NA,-26.5833,18.1333,53.94,57,0,6.58,clear sky
129,Kaifeng,CN,34.7911,114.3483,82.45,81,100,6.51,overcast clouds
130,Kindu,CD,-2.95,25.95,74.7,65,93,2.33,overcast clouds
131,Bredasdorp,ZA,-34.5322,20.0403,53.42,95,13,5.01,few clouds
132,Pevek,RU,69.7008,170.3133,32.43,94,100,16.93,overcast clouds
133,Faanui,PF,-16.4833,-151.75,76.98,71,78,25.03,broken clouds
134,Pauini,BR,-7.7136,-66.9764,86.14,56,85,3.36,overcast clouds
135,Keti Bandar,PK,24.1447,67.4497,81.97,91,100,12.57,overcast clouds
136,Tura,IN,25.5198,90.2201,74.75,97,99,4.0,moderate rain
137,Zlitan,LY,32.4674,14.5687,81.18,77,0,7.65,clear sky
138,Goulburn,AU,-34.75,149.7167,37.38,89,71,2.17,broken clouds
139,Honningsvag,NO,70.9821,25.9704,49.75,87,75,16.11,light intensity drizzle
140,Ancud,CL,-41.8697,-73.8203,47.23,69,14,1.07,few clouds
141,Tual,ID,-5.6667,132.75,80.08,81,99,18.81,overcast clouds
142,Batagay-Alyta,RU,67.8006,130.4114,53.11,88,56,4.45,broken clouds
143,Dolores,AR,-36.3132,-57.6792,47.23,71,100,6.78,overcast clouds
144,Hobart,AU,-42.8794,147.3294,35.26,96,20,4.61,few clouds
145,Loanda,AO,-8.8368,13.2343,66.6,91,1,7.2,clear sky
146,Taoudenni,ML,22.6783,-3.9836,104.27,9,1,9.53,clear sky
147,Kavaratti,IN,10.5669,72.642,80.55,83,99,23.8,overcast clouds
148,Kamenka,RU,51.3223,42.7678,69.17,46,14,8.34,few clouds
149,Namibe,AO,-15.1961,12.1522,61.81,89,38,1.5,scattered clouds
150,Yucca Valley,US,34.1142,-116.4322,96.13,31,68,5.01,broken clouds
151,Portland,US,45.5234,-122.6762,99.55,29,0,12.66,clear sky
152,Tuktoyaktuk,CA,69.4541,-133.0374,44.11,74,90,8.03,overcast clouds
153,Deputatskiy,RU,69.3,139.9,46.67,96,100,4.23,overcast clouds
154,Sarlat-La-Caneda,FR,44.889,1.2166,71.24,38,3,6.67,clear sky
155,Benjamin Hill,MX,30.1667,-111.1,87.62,44,7,4.88,clear sky
156,Codrington,AU,-38.2667,141.9667,37.69,90,7,7.54,clear sky
157,Samfya,ZM,-11.3649,29.5565,63.61,48,3,8.41,clear sky
158,Bangassou,CF,4.7413,22.8184,68.77,98,98,2.13,overcast clouds
159,Surt,LY,31.2089,16.5887,81.37,69,0,8.57,clear sky
160,Lompoc,US,34.6391,-120.4579,86.02,62,0,28.01,clear sky
161,Saldanha,ZA,-33.0117,17.9442,55.35,96,32,13.85,scattered clouds
162,Lishui,CN,28.4604,119.9103,73.92,98,24,3.09,few clouds
163,Montecristi,EC,-1.05,-80.6667,73.22,78,100,6.91,overcast clouds
164,Dikson,RU,73.5069,80.5464,42.1,100,100,9.44,light rain
165,Siyabuswa,ZA,-25.1132,29.0445,64.6,32,4,5.01,clear sky
166,Agde,FR,43.3108,3.4758,78.87,86,0,2.3,clear sky
167,Bandarbeyla,SO,9.4942,50.8122,75.61,80,8,32.84,clear sky
168,Natagaima,CO,3.6206,-75.0941,94.95,33,13,1.23,few clouds
169,Sitka,US,57.0531,-135.33,57.09,77,100,3.44,overcast clouds
170,Nanortalik,GL,60.1432,-45.2371,45.25,81,6,9.24,clear sky
171,Springbok,ZA,-29.6643,17.8865,39.85,93,46,0.94,scattered clouds
172,Kawambwa,ZM,-9.7915,29.0791,59.95,39,0,4.68,clear sky
173,Tripoli,LY,32.8752,13.1875,81.73,69,0,4.43,clear sky
174,Vao,NC,-22.6667,167.4833,72.25,83,0,10.89,clear sky
175,Kavieng,PG,-2.5744,150.7967,81.27,80,99,13.35,light rain
176,Vardo,NO,70.3705,31.1107,48.18,87,75,11.5,broken clouds
177,Lumut,MY,4.2323,100.6298,78.17,84,51,4.81,broken clouds
178,Raga,SS,8.4596,25.678,69.48,97,100,4.85,light rain
179,Babstovo,RU,48.1167,132.4833,66.97,99,98,4.52,overcast clouds
180,Labuhan,ID,-6.8844,112.2051,74.79,86,8,9.44,clear sky
181,Srednekolymsk,RU,67.45,153.6833,54.81,42,85,13.42,overcast clouds
182,Provideniya,RU,64.3833,-173.3,44.71,81,100,15.99,overcast clouds
183,Arkhangelsk,RU,64.5401,40.5433,55.51,87,20,4.47,few clouds
184,Tuatapere,NZ,-46.1333,167.6833,35.55,83,31,9.55,scattered clouds
185,Tawang,IN,27.5833,91.8667,55.51,91,42,5.19,scattered clouds
186,Airai,TL,-8.9266,125.4092,57.34,58,9,2.95,clear sky
187,San Clemente,US,33.427,-117.612,104.27,56,29,1.99,scattered clouds
188,Mabaruma,GY,8.2,-59.7833,82.58,77,100,5.73,overcast clouds
189,Basoko,CD,1.2391,23.616,74.17,82,90,3.6,overcast clouds
190,Pucallpa,PE,-8.3791,-74.5539,87.84,58,40,5.75,scattered clouds
191,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,81,100,10.36,light intensity drizzle rain
192,Kysyl-Syr,RU,63.8986,122.7617,51.78,95,100,3.89,overcast clouds
193,Cabo San Lucas,MX,22.8909,-109.9124,91.18,68,75,4.0,broken clouds
194,Camapua,BR,-19.5314,-54.0439,81.37,38,99,6.04,overcast clouds
195,Zhaotong,CN,27.3167,103.7167,60.57,91,97,3.06,overcast clouds
196,Sorong,ID,-0.8833,131.25,77.18,87,95,8.05,overcast clouds
197,Bang Saphan,TH,11.2126,99.5117,76.42,91,100,7.83,overcast clouds
198,Kupang,ID,-10.1667,123.5833,74.14,89,22,6.62,few clouds
199,Kirakira,SB,-10.4544,161.9205,79.68,84,95,6.67,overcast clouds
200,Cap-Aux-Meules,CA,47.3821,-61.8597,72.27,86,84,16.02,broken clouds
201,Upernavik,GL,72.7868,-56.1549,42.37,83,78,8.23,broken clouds
202,Havre-Saint-Pierre,CA,50.2334,-63.5986,68.77,55,82,22.15,broken clouds
203,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,21,4.43,few clouds
204,Pedasi,PA,7.5333,-80.0333,86.07,78,100,5.79,overcast clouds
205,Dori,BF,14.0354,-0.0345,91.76,46,33,7.58,moderate rain
206,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,9.22,broken clouds
207,Panormos,GR,35.4182,24.6909,79.02,70,0,6.78,clear sky
208,Lorengau,PG,-2.0226,147.2712,81.12,76,93,7.81,overcast clouds
209,Waingapu,ID,-9.6567,120.2641,72.68,84,9,5.44,clear sky
210,Bengkulu,ID,-3.8004,102.2655,74.46,88,13,4.83,few clouds
211,Porto Velho,BR,-8.7619,-63.9039,91.45,49,20,5.75,few clouds
212,Agua Verde,MX,22.9,-106.05,89.69,64,91,11.99,overcast clouds
213,Karratha,AU,-20.7377,116.8463,63.59,51,0,8.68,light rain
214,Vaitape,PF,-16.5167,-151.75,76.95,70,76,24.99,broken clouds
215,Ribeira Grande,PT,38.5167,-28.7,74.68,82,29,16.75,light rain
216,Subtanjalla,PE,-14.0189,-75.7581,75.04,41,0,13.2,clear sky
217,Coihueco,CL,-36.6167,-71.8333,48.94,93,75,4.61,mist
218,Morgantown,US,39.6295,-79.9559,90.82,70,100,5.75,overcast clouds
219,Krasnoselkup,RU,65.7,82.4667,58.12,79,100,6.96,overcast clouds
220,Carnarvon,AU,-24.8667,113.6333,62.08,77,0,11.7,clear sky
221,Zalantun,CN,48.0,122.7167,54.05,63,0,7.0,clear sky
222,Palmer,US,42.1584,-72.3287,92.91,55,96,3.0,overcast clouds
223,Pinega,RU,64.7001,43.3936,57.58,75,84,5.3,broken clouds
224,Kota Tinggi,MY,1.7381,103.8999,82.44,94,82,1.61,broken clouds
225,Ulaanbaatar,MN,47.9077,106.8832,50.13,87,75,2.24,broken clouds
226,Panama City,PA,8.9936,-79.5197,86.16,75,40,5.75,scattered clouds
227,Onega,RU,63.9061,38.1404,54.05,82,92,6.67,overcast clouds
228,Faya,SA,18.3851,42.4509,64.92,84,66,3.87,broken clouds
229,Praia,CV,14.9215,-23.5087,81.14,83,75,8.05,broken clouds
230,Banda Aceh,ID,5.5577,95.3222,78.89,73,89,13.2,overcast clouds
231,North Bend,US,43.4065,-124.2243,80.24,85,0,18.41,clear sky
232,Grindavik,IS,63.8424,-22.4338,52.27,87,40,16.11,scattered clouds
233,Hualmay,PE,-11.0964,-77.6139,64.42,76,57,12.77,broken clouds
234,Ejido,VE,8.5514,-71.2375,75.31,80,100,3.2,overcast clouds
235,Tiksi,RU,71.6872,128.8694,46.22,96,100,3.89,light rain
236,Amapa,BR,1.0,-52.0,81.28,70,88,3.62,overcast clouds
237,Taber,CA,49.8167,-112.1518,86.45,19,0,3.29,clear sky
238,Daru,PG,-9.0763,143.2092,77.07,90,90,14.9,overcast clouds
239,Makakilo City,US,21.3469,-158.0858,83.95,57,20,11.5,few clouds
240,Green River,US,41.5286,-109.4662,84.18,24,0,5.01,clear sky
241,Castro,BR,-24.7911,-50.0119,57.54,95,100,2.24,moderate rain
242,Margraten,NL,50.8208,5.8208,65.88,62,24,8.05,few clouds
243,Coihaique,CL,-45.5752,-72.0662,39.15,75,100,4.61,overcast clouds
244,Amga,RU,60.8953,131.9608,52.14,87,31,3.91,scattered clouds
245,Haines Junction,CA,60.7522,-137.5108,57.11,55,93,5.19,overcast clouds
246,Saint George,US,37.1041,-113.5841,103.42,19,0,5.01,clear sky
247,Aklavik,CA,68.2191,-135.0107,49.87,66,98,3.09,overcast clouds
248,Macheng,CN,31.1783,115.0319,82.6,76,91,5.14,overcast clouds
